location_id,latitude,longitude,dist_road_m,dist_hospital_m,dist_school_m,dist_police_m,dist_market_m,flood_risk,land_use_class,dist_landuse_commercial_m,population_density,elevation_m,label
24,19.013956399999977,72.776333,3941.240750613264,4399.394744806942,174882.3497257719,175910.32302352786,175801.1228012518,0.0,industrial,4591.955129478108,,,0
25,19.018956399999976,72.776333,4087.191345722501,4588.697805886023,174331.51358943823,175359.11158733323,175249.9735528355,0.0,park,4910.1638932937385,,,0
26,19.02395639999997,72.776333,4020.2081550322905,4782.297938943385,173780.6946594259,174807.91489993408,174698.83945301137,0.0,park,5163.484313747377,,,0
27,19.028956399999974,72.776333,4028.893072655899,5029.668452479404,173229.8931024667,174256.73310387062,174147.72064818884,0.0,residential,5309.932491109308,,,0
28,19.033956399999973,72.776333,4112.7668738716575,5323.318698715772,172679.10908741696,173705.56634349062,173596.61728663466,0.0,residential,5508.37173150031,,,0
29,19.03895639999997,72.776333,4257.379530170495,5204.824224941737,172128.34278528686,173154.41476497383,173045.52951849843,0.0,park,5317.155585352908,,,0
30,19.04395639999997,72.776333,4399.71337385947,5078.536245344861,171577.59436928044,172603.27851636676,172494.45749584763,0.0,park,5159.679651055155,,,0
31,19.04895639999997,72.776333,4451.430972359263,5010.571766731382,171026.8640148271,172052.15774760852,171943.40137269502,0.0,park,5048.763053823332,,,0
32,19.05395639999997,72.776333,4570.116530933201,5003.308229081487,170476.1518996183,171501.0526105623,171392.36130503032,0.0,park,4985.674928406835,,,0
33,19.058956399999968,72.776333,4678.074479070624,5057.007290110745,169925.45820364385,170949.96325904602,170841.33745085215,0.0,park,4983.659910017742,,,0
34,19.063956399999967,72.776333,4707.690249529172,5169.769708702776,169374.78310922885,170398.88984886347,170290.32997019982,0.0,park,4901.289509393237,,,0
35,19.06895639999997,72.776333,4796.732214800966,5337.853733680122,168824.12680107245,169847.83253783727,169739.33902518725,0.0,park,4843.049128965194,,,0
36,19.073956399999965,72.776333,4754.703541311577,5556.241047374832,168273.4894662858,169296.79148584104,169188.36478003624,0.0,residential,4847.739548945741,,,0
37,19.078956399999964,72.776333,4749.18018253941,5806.644688195041,167722.8712944322,168745.76685483335,168637.40740111098,0.0,residential,4915.180706983355,,,0
38,19.083956399999963,72.776333,4807.8257791918,6060.76945093469,167172.27247756577,168194.75880889018,168086.4670569518,0.0,residential,5042.855711835644,,,0
39,19.08895639999996,72.776333,4723.173451491676,5872.773286690965,166621.69321027413,167643.7675142415,167535.54391831264,0.0,forest,5226.3521408448205,,,0
40,19.09395639999996,72.776333,4190.454645259479,5677.7921891935575,166071.13368971803,167092.7931393043,166984.6381581949,0.0,forest,5210.934686883178,,,0
41,19.09895639999996,72.776333,3663.937022731895,5352.560989979764,165520.5941156775,166541.83585472225,166433.74995188828,0.0,forest,5103.354193048,,,0
42,19.10395639999996,72.776333,3146.7350526678038,5022.540094879208,164970.0746905902,165990.89583339737,165882.8794770036,0.0,forest,5010.492778760202,,,0
43,19.10895639999996,72.776333,2644.3207087637725,4734.4357625404045,164419.57561960092,165439.97325053264,165332.02691351614,0.0,scrub,4970.759430055298,,,0
44,19.11395639999996,72.776333,2167.0041498633973,4496.312825891806,163869.09711060382,164889.06828366747,164781.1924438023,0.0,scrub,4992.477654084221,,,0
45,19.11895639999996,72.776333,1733.603148650899,4226.997076383846,163318.6393742868,164338.18111271472,164230.37625267805,0.0,scrub,4925.945463804734,,,0
46,19.123956399999955,72.776333,1227.165417670409,4009.4733888181454,162768.20262418536,163787.31192000743,163679.5785274462,0.0,scrub,4812.515023989804,,,0
51,19.14895639999995,72.776333,1158.6029185563143,4038.864266870977,160016.34134567037,161033.2421859607,160925.8736242606,0.0,forest,5051.638284387575,,,0
52,19.15395639999995,72.776333,740.254412043701,4265.990804341676,159466.03516241853,160482.48483214297,160375.19077206438,0.0,forest,5273.649665177526,,,0
53,19.158956399999948,72.776333,584.6986974452685,4549.495996265315,158915.7515438675,159931.74680402933,159824.52776998226,0.0,forest,5188.099738285629,,,0
54,19.163956399999947,72.776333,589.4453668092021,4879.562923320034,158365.49072810757,159381.0283048084,159273.8848267514,0.0,forest,4770.771051784957,,,0
55,19.168956399999946,72.776333,653.3343967240081,4861.387488351721,157815.25295653834,158830.3295404783,158723.26215399674,0.0,forest,4383.733257512182,,,0
56,19.173956399999945,72.776333,1003.8018331656024,4647.543654869118,157265.03847392826,158279.65071989704,158172.65996628252,0.0,forest,4035.710885590344,,,0
57,19.178956399999944,72.776333,1483.436200576615,4492.128382926599,156714.84752847324,157728.9920548322,157622.07848116357,0.0,forest,3737.6185720650215,,,0
58,19.183956399999943,72.776333,1432.4830981922885,4401.3356371971,156164.68037186,157178.35376001507,157071.51791924052,0.0,military,3502.229134758394,,,0
59,19.18895639999994,72.776333,990.2671112029182,4379.186784882806,155614.53725932186,156627.7360531866,156520.97850420763,0.0,residential,3342.8150178342057,,,0
60,19.19395639999994,72.776333,712.4999239729901,4426.712420197889,155064.41844970573,156077.1391551551,155970.46046291175,0.0,residential,3270.505084678648,,,0
61,19.19895639999994,72.776333,701.0417903484791,4489.200273397489,154514.32420553398,155526.56328984778,155419.9640254053,0.0,residential,3281.4594884292237,,,0
62,19.20395639999994,72.776333,602.4392989573653,4294.897739081417,153964.25479306758,154976.00868436394,154869.48942500132,0.0,residential,3380.237382201511,,,0
63,19.208956399999938,72.776333,440.517292900581,4165.616472073838,153414.21048237893,154425.47556903755,154319.03689833728,0.0,residential,3563.288342998864,,,0
64,19.213956399999937,72.776333,603.0019926717748,4107.500703671107,152864.19154741522,153874.96417748966,153768.60668542952,0.0,residential,3818.5120749521857,,,0
65,19.218956399999936,72.776333,394.2578437474881,4123.560576785445,152314.1982660661,153324.4747466858,153218.19902973177,0.0,residential,4132.558244032377,,,0
66,19.22395639999993,72.776333,37.93139195006994,4212.948008043564,151764.23092024075,152774.00751700142,152667.81417820285,0.0,residential,4493.109642950511,,,0
67,19.22895639999993,72.776333,272.1150332444204,4371.166917641519,151214.28979593673,152223.56273227977,152117.4523813659,0.0,residential,4889.890107509196,,,0
68,19.233956399999933,72.776333,406.7757754473705,4591.106693157829,150664.3751833118,151673.1406398921,151567.11389337052,0.0,residential,5314.791770862493,,,0
69,19.23895639999993,72.776333,464.6766733556738,4864.40265441556,150114.48737676613,151122.74149080805,151016.79897206495,0.0,residential,5761.596489136914,,,0
70,19.24395639999993,72.776333,531.9349283892114,5182.620833006422,149564.6266750142,150572.36553965538,150466.5078790575,0.0,residential,6225.590237040937,,,0
71,19.24895639999993,72.776333,734.3989285705604,5538.022945001071,149014.7933811661,150022.01304478914,149916.24087978783,0.0,residential,6703.204575694361,,,0
72,19.25395639999993,72.776333,739.6434735320622,5923.920360252396,148464.98780280707,149471.6842683583,149365.99824359542,0.0,forest,7191.7263841437625,,,0
73,19.258956399999928,72.776333,655.2889550239544,6334.742497775846,147915.21025208195,148921.37947637757,148815.78024379324,0.0,forest,7689.07700121934,,,0
74,19.263956399999927,72.776333,812.9502993514031,6765.950731702105,147365.4610457787,148371.09893879746,148265.58715774008,0.0,forest,7860.620352955354,,,0
75,19.26895639999993,72.776333,1053.3889450402478,7190.087574065982,146815.74050541472,147820.84292957725,147715.4192669154,0.0,forest,8031.788770592288,,,0
76,18.8939564,72.78133299999999,2541.507999998091,5806.348363400631,188058.92035348015,189098.618520812,188987.45430537307,0.0,forest,3042.5510629184528,,,0
77,18.8989564,72.78133299999999,2450.7003186175098,5403.586431768735,187507.57755876263,188546.9634271626,188435.85109706217,0.0,forest,2885.203157770172,,,0
78,18.9039564,72.78133299999999,2353.331862049973,4873.038326935129,186956.2477084548,187995.3193829878,187884.2592477377,0.0,forest,2829.090444657453,,,0
